price;cap_rate;borough_cap_rate;deep_date;yearqtr;crfn;BIN;boro;block tax;lot tax;boroblocklot;hnum_lo;hnum_hi;str_name;Census Tract;Council District;NTA;Postcode;Community Board;borough;Latitude;Longitude
8600000;0.017;0.033;08/14/2018;2018Q3;2.02E+12;1033297;1;1236;34;1012360034;590;590;AMSTERDAM AVENUE;175;6;Upper West Side;10024;107;MN;40.789335;-73.973825
8600000;0.019;0.033;08/14/2018;2018Q3;2.02E+12;1033298;1;1236;35;1012360035;592;592;AMSTERDAM AVENUE;175;6;Upper West Side;10024;107;MN;40.789393;-73.973782
8600000;0.021;0.033;08/14/2018;2018Q3;2.02E+12;1033299;1;1236;36;1012360036;594;594;AMSTERDAM AVENUE;175;6;Upper West Side;10024;107;MN;40.789453;-73.973739
60000000;0.04;0.05;03/02/2022;2022Q1;2.02E+12;1033611;1;1240;10;1012400010;2481;2487;BROADWAY;179;6;Upper West Side;10025;107;MN;40.79228;-73.973524
30000000;0.026;0.034;06/01/2018;2018Q2;2.02E+12;1034185;1;1253;45;1012530045;336;336;WEST 95 STREET;183;6;Upper West Side;10025;107;MN;40.794959;-73.974614
50750000;0.037;0.05;06/30/2022;2022Q2;2.02E+12;1056059;1;1868;1;1018680001;740;740;WEST END AVENUE;183;6;Upper West Side;10025;107;MN;40.795352;-73.973126
64500000;0.023;0.033;07/31/2018;2018Q3;2.02E+12;1056493;1;1872;61;1018720061;832;838;WEST END AVENUE;187;6;Upper West Side;10025;107;MN;40.798239;-73.971019
22000000;0.029;0.033;10/16/2018;2018Q4;2.02E+12;1055306;1;1836;47;1018360047;10;16;MANHATTAN AVENUE;189;7;Upper West Side;10025;107;MN;40.795121;-73.964046
15734353;0.026;0.035;08/29/2019;2019Q3;2.02E+12;1055398;1;1838;21;1018380021;50;56;MANHATTAN AVENUE;189;7;Upper West Side;10025;107;MN;40.796098;-73.963331
17500000;0.019;0.035;06/25/2019;2019Q2;2.02E+12;1043993;1;1428;21;1014280021;1403;1403;2 AVENUE;126;4;Lenox Hill-Roosevelt Island;10021;108;MN;40.769632;-73.957768
5975000;0.032;0.056;02/26/2020;2020Q1;2.02E+12;1044857;1;1446;4;1014460004;1388;1388;2 AVENUE;126;5;Lenox Hill-Roosevelt Island;10021;108;MN;40.768668;-73.958447
11833333;0.028;0.033;02/19/2019;2019Q1;2.02E+12;1044241;1;1436;35;1014360035;344;344;EAST 62 STREET;110;5;Lenox Hill-Roosevelt Island;10065;108;MN;40.761884;-73.961566
11833333;0.029;0.033;02/19/2019;2019Q1;2.02E+12;1044240;1;1436;34;1014360034;346;346;EAST 62 STREET;110;5;Lenox Hill-Roosevelt Island;10065;108;MN;40.761873;-73.961538
11833334;0.029;0.033;02/19/2019;2019Q1;2.02E+12;1044239;1;1436;33;1014360033;348;348;EAST 62 STREET;110;5;Lenox Hill-Roosevelt Island;10065;108;MN;40.761862;-73.961509
14938625;0.015;0.034;04/12/2018;2018Q2;2.02E+12;1050354;1;1559;47;1015590047;1528;1528;1 AVENUE;136;5;Yorkville;10075;108;MN;40.772772;-73.952357
15000000;0.052;0.056;05/14/2021;2021Q2;2.02E+12;1048256;1;1519;22;1015190022;151;151;EAST 90 STREET;14802;5;Upper East Side-Carnegie Hill;10128;108;MN;40.781869;-73.95325
7097381;0.045;0.047;12/25/2019;2019Q4;2.02E+12;1048397;1;1522;37;1015220037;1670;1670;3 AVENUE;15801;5;Upper East Side-Carnegie Hill;10128;108;MN;40.783613;-73.950497
6650000;0.047;0.059;01/13/2021;2021Q1;2.02E+12;1048397;1;1522;37;1015220037;1670;1670;3 AVENUE;15801;5;Upper East Side-Carnegie Hill;10128;108;MN;40.783613;-73.950497
5150000;0.029;0.033;12/04/2018;2018Q4;2.02E+12;1059624;1;1970;34;1019700034;1437;1437;AMSTERDAM AVENUE;21303;9;Manhattanville;10027;109;MN;40.816395;-73.954053
15800000;0.048;0.061;08/05/2020;2020Q3;2.02E+12;1059872;1;1994;62;1019940062;183;187;CLAREMONT AVENUE;211;7;Morningside Heights;10027;109;MN;40.814495;-73.960478
16800000;0.027;0.035;05/21/2019;2019Q2;2.02E+12;1079851;1;2070;36;1020700036;1590;1590;AMSTERDAM AVENUE;225;7;Hamilton Heights;10031;109;MN;40.821197;-73.950574
26200000;0.018;0.034;06/26/2018;2018Q2;2.02E+12;1061751;1;2071;61;1020710061;3430;3438;BROADWAY;225;7;Hamilton Heights;10031;109;MN;40.822973;-73.952961
18450000;0.032;0.033;09/24/2018;2018Q3;2.02E+12;1061758;1;2072;1;1020720001;3440;3448;BROADWAY;225;7;Hamilton Heights;10031;109;MN;40.823231;-73.952433
9200000;0.03;0.034;05/14/2018;2018Q2;2.02E+12;1061730;1;2071;15;1020710015;51;51;HAMILTON PLACE;225;7;Hamilton Heights;10031;109;MN;40.822342;-73.951805
7425000;0.031;0.033;07/24/2018;2018Q3;2.02E+12;1061759;1;2072;6;1020720006;563;563;WEST 140 STREET;225;7;Hamilton Heights;10031;109;MN;40.822896;-73.951859
5300000;0.023;0.033;12/10/2018;2018Q4;2.02E+12;1061948;1;2077;38;1020770038;510;512;WEST 146 STREET;229;7;Hamilton Heights;10031;109;MN;40.826155;-73.94773
21795000;0.017;0.033;11/14/2018;2018Q4;2.02E+12;1062456;1;2098;29;1020980029;3661;3669;BROADWAY;237;7;Hamilton Heights;10031;109;MN;40.830322;-73.947626
6255000;0.022;0.034;04/24/2018;2018Q2;2.02E+12;1062252;1;2084;62;1020840062;3694;3694;BROADWAY;237;7;Hamilton Heights;10031;109;MN;40.831285;-73.946891
6075000;0.047;0.05;02/04/2022;2022Q1;2.02E+12;1062160;1;2082;43;1020820043;512;514;WEST 151 STREET;237;7;Hamilton Heights;10031;109;MN;40.829289;-73.945487
5100000;0.053;0.062;06/15/2020;2020Q2;2.02E+12;1061625;1;2067;36;1020670036;61;61;ST NICHOLAS PLACE;23501;9;Hamilton Heights;10031;109;MN;40.828888;-73.941231
3700000;0.03;0.033;03/07/2019;2019Q1;2.02E+12;1059769;1;1988;37;1019880037;502;502;WEST 135 STREET;22301;7;Manhattanville;10031;109;MN;40.819123;-73.95266
7210000;0.019;0.034;05/03/2018;2018Q2;2.02E+12;1059794;1;1988;101;1019880101;505;505;WEST 135 STREET;22301;7;Manhattanville;10031;109;MN;40.819153;-73.952689
7200000;0.029;0.034;04/05/2018;2018Q2;2.02E+12;1059785;1;1988;86;1019880086;523;523;WEST 135 STREET;22301;7;Manhattanville;10031;109;MN;40.819296;-73.953043
5400000;0.026;0.033;12/10/2018;2018Q4;2.02E+12;1054936;1;1820;55;1018200055;146;146;WEST 111 STREET;216;9;Central Harlem South;10026;110;MN;40.799473;-73.953548
8200000;0.028;0.033;12/10/2018;2018Q4;2.02E+12;1054962;1;1821;49;1018210049;120;120;WEST 112 STREET;216;9;Central Harlem South;10026;110;MN;40.800096;-73.953082
6900000;0.033;0.033;12/10/2018;2018Q4;2.02E+12;1057404;1;1901;23;1019010023;117;117;WEST 116 STREET;218;9;Central Harlem South;10026;110;MN;40.802357;-73.950451
7300000;0.031;0.033;12/10/2018;2018Q4;2.02E+12;1057402;1;1901;19;1019010019;125;125;WEST 116 STREET;218;9;Central Harlem South;10026;110;MN;40.80242;-73.950602
4800000;0.025;0.033;12/10/2018;2018Q4;2.02E+12;1057395;1;1901;12;1019010012;141;141;WEST 116 STREET;218;9;Central Harlem South;10026;110;MN;40.802549;-73.950909
4100000;0.032;0.033;12/10/2018;2018Q4;2.02E+12;1055243;1;1831;48;1018310048;230;230;WEST 116 STREET;218;9;Central Harlem South;10026;110;MN;40.803799;-73.953921
6800000;0.028;0.033;12/10/2018;2018Q4;2.02E+12;1058371;1;1922;11;1019220011;239;241;WEST 116 STREET;218;9;Central Harlem South;10026;110;MN;40.803906;-73.954127
6200000;0.027;0.033;12/10/2018;2018Q4;2.02E+12;1058370;1;1922;9;1019220009;243;245;WEST 116 STREET;218;9;Central Harlem South;10026;110;MN;40.80395;-73.954235
10300000;0.024;0.033;12/10/2018;2018Q4;2.02E+12;1058368;1;1922;6;1019220006;251;253;WEST 116 STREET;218;9;Central Harlem South;10026;110;MN;40.804041;-73.954452
3807600;0.052;0.055;07/06/2021;2021Q3;2.02E+12;1058381;1;1922;57;1019220057;272;272;WEST 117 STREET;218;9;Central Harlem South;10026;110;MN;40.804768;-73.954112
5225000;0.027;0.034;05/17/2018;2018Q2;2.02E+12;1057518;1;1903;62;1019030062;1975;1977;ADAM C POWELL BLVD;220;9;Central Harlem South;10026;110;MN;40.804937;-73.951261
11300000;0.047;0.05;06/13/2022;2022Q2;2.02E+12;1055806;1;1847;42;1018470042;312;312;MANHATTAN AVENUE;19702;9;Central Harlem South;10026;110;MN;40.803268;-73.958115
3225000;0.049;0.055;11/09/2021;2021Q4;2.02E+12;1059442;1;1958;57;1019580057;426;426;ST NICHOLAS AVENUE;215;9;Central Harlem North-Polo Grounds;10027;110;MN;40.814551;-73.949296
8500000;0.028;0.047;12/20/2019;2019Q4;2.02E+12;1057776;1;1908;4;1019080004;2067;2069;ADAM C POWELL BLVD;222;9;Central Harlem South;10027;110;MN;40.807903;-73.949095
19250000;0.023;0.033;12/14/2018;2018Q4;2.02E+12;1060010;1;2006;42;1020060042;112;118;WEST 138 STREET;228;9;Central Harlem North-Polo Grounds;10030;110;MN;40.816312;-73.940155
2550000;0.02;0.05;01/04/2022;2022Q1;2.02E+12;1060077;1;2009;53;1020090053;162;162;WEST 141 STREET;230;9;Central Harlem North-Polo Grounds;10030;110;MN;40.818617;-73.939809
6687500;0.05;0.055;12/20/2021;2021Q4;2.02E+12;1053018;1;1708;22;1017080022;265;;PLEASANT AVENUE;178;8;East Harlem North;10029;111;MN;40.793991;-73.933952
5500000;0.045;0.056;06/24/2021;2021Q2;2.02E+12;1051600;1;1615;11;1016150011;19;21;EAST 109 STREET;17401;9;East Harlem South;10029;111;MN;40.795793;-73.948671
5500000;0.032;0.056;06/25/2021;2021Q2;2.02E+12;1053959;1;1745;50;1017450050;1829;1829;MADISON AVENUE;184;9;East Harlem North;10035;111;MN;40.801821;-73.943494
7500000;0.02;0.047;11/08/2019;2019Q4;2.02E+12;1052369;1;1646;15;1016460015;223;223;EAST 96 STREET;15602;5;East Harlem South;10128;111;MN;40.784754;-73.948272
25450000;0.019;0.034;05/31/2018;2018Q2;2.02E+12;1051704;1;1624;21;1016240021;155;159;EAST 96 STREET;15802;5;East Harlem South;10128;111;MN;40.785738;-73.9506
